assessment_id,study_id,objective_judgment,objective_rationale,embedding_verification_judgment,embedding_verification_rationale,resources_models_languages_judgment,resources_models_languages_rationale,baselines_metrics_judgment,baselines_metrics_rationale,attack_protocol_judgment,attack_protocol_rationale,overall_decision,overall_rationale,source_location
QA01,PS01,clear,Contribution and ownership-verification goal are explicit,clear,Learned transformation embedding extraction and ZKP verification are described,adequate,Training and multilingual evaluation resources are identifiable,partial,Quantitative evidence is reported but recovery is not varied across payload lengths,partial,Renaming refactoring and surrogate re-watermarking conditions are reported but attacked-code functionality is not retested,included,Technically assessable with explicit evidence; payload-scaling and post-attack functional evidence remain limited,"RoSeMary.pdf, Sections 3-5"
QA02,PS02,clear,Quality-detectability trade-off objective is explicit,clear,Grammar eligibility role-aware biasing and weighted detection statistic are described,adequate,Benchmarks languages model families and decoding modes are identifiable,adequate,Pass@1 F1 and AUTC are reported across watermark strengths,partial,"Robustness is tested only against a single variable-renaming attack, tracked via AUTC degradation (Table 5); no other perturbation types or post-attack functional checks are included",included,"Strong trade-off reporting across multiple models, languages, and decoding strategies, but narrow robustness scope","GDW.pdf, Sections 3-4"
QA03,PS03,clear,"Multi-channel, post-hoc, training-free spread-spectrum watermarking with a 24-bit payload and formal robustness guarantees is explicit",clear,"Variable-naming and eight structural channels, keyed spread-spectrum bit assignment, majority voting, and Reed-Solomon decoding are specified with algorithms and formal theorems",partial,"Seven CodeNet-derived datasets plus real GPT-4.1/Llama-4-generated Python code are used, but evaluation is Python-only; functional preservation is guaranteed by construction (provably semantics-preserving transformations) rather than tested via execution",adequate,"Detection accuracy is compared against reimplemented ACW and SrcMarker-Py baselines and a corrected STONE reproduction, with FPR both empirically measured (0/1750) and formally bounded at 1/2^24",adequate,"17 attack types across four formal levels (formatting, renaming, structural, LLM regeneration by five different attacker LLMs) are tested with accompanying robustness theorems",included,"Exceptionally rigorous evaluation combining formal robustness proofs, real LLM-generated code, faithful baseline reimplementations, and a wide attack taxonomy; limited to Python and to code without executable test suites","MultiChannel.pdf, Sections 4-7"
QA04,PS04,clear,Prompt-only watermarking for closed-source models is explicit,clear,Keyed initial selection feedback embedding and statistical verification are described,adequate,HumanEval MBPP two commercial models and sampling settings are reported,adequate,AUROC TPR and false-positive operating points are provided,partial,Comment removal and paraphrasing are specified but post-attack functionality is absent,included,Assessable hosted-model method; naturalness and attacked-code validity remain unmeasured,"PromptMark.pdf, Sections 3-6"
QA05,PS05,clear,Dual-channel attribution and applicability goals are explicit,clear,Anchor extraction parity constraints BCH fallback and verification are described,adequate,Generator-benchmark combinations and sample applicability are reported,adequate,Channel-specific operating points message accuracy and embedding success are separated,partial,Operators are named and quantified but post-attack unit tests are absent,included,Good distinction between recovery and applicability; attack preservation evidence is incomplete,"MATRIX.pdf, Sections III-V"
QA06,PS06,clear,Joint generator-detector watermark learning objective is explicit,clear,SFT detector pretraining GRPO co-training and deployment detector are described,adequate,Three disjoint OpenCoder splits actor detector and four benchmarks are identifiable,adequate,AUROC Pass@1 Pass@10 and latency are quantitative,partial,Renaming intensities and two refactoring models are reported but only AUROC is measured after attack,included,Training-time evidence is assessable; post-attack functionality is not verified,"SWaRL.pdf, Sections 3-4"
QA07,PS07,clear,Corpus-derived token watermark objective is explicit,clear,Cue-list construction embedding positions and mirrored detection are described,adequate,CoCoNuT auxiliary use and HumanEval evaluation are identifiable,partial,Detection and Pass@1 are quantitative but runtime is discussed only qualitatively,partial,The sole robustness analysis filters natural-language/comment content from detection rather than applying a parameterized edit pipeline,included,Assessable design with a narrow robustness protocol and no quantitative efficiency measurement,"CodeAcrostic.pdf, Section 5 and Tables 1-2"
QA08,PS08,clear,Training-free LLM-assisted transformation watermarking is explicit,clear,Rule-class embedding retrieval-grounded comparison and bit recovery are described,adequate,MBXP and CodeSearchNet language-specific uses are reported,adequate,Bitwise recovery functionality retrieval utility runtime and cost are quantified,adequate,"Black-box removal (1-3 random transformations; 25-100% variable renaming) and adaptive GPT-4o de-watermarking are tested across five languages, with post-attack Pass%/CodeBLEU tracked alongside BitAcc",included,Broad multilingual and adversarial evidence with post-attack functional validation; verifier depends on an original-code repository,"CLASP.pdf, Sections 4-5"
QA09,PS09,clear,Syntax-aware generation-time watermarking objective is explicit,clear,Admissible token filtering and statistical verification are described,adequate,EvalPlus-family and multilingual benchmark subsets are identifiable,adequate,Detection functionality imperceptibility and timing are quantified,partial,Named refactoring and GPT-4o paraphrasing attacks are reported but attacked-code functionality is not retested,included,Multiple clean-code quality dimensions are measurable; robustness covers detection only,"STONE.pdf, Sections 4-6"
QA10,PS10,clear,Traceable malicious-code generation with a 24-bit identity is explicit,clear,Cyclic bit embedding correction and recovery are described,partial,MCGTest scale is reported but it lacks reference solutions and executable tests,adequate,Embedding recovery CodeBLEU human recognition robustness and overhead are quantified,partial,Eight insertion modification and removal operators are enumerated but post-attack functionality is asserted rather than tested,included,Application-specific evidence is detailed but executable functional validation is unavailable,"MCGMark.pdf, Sections 5-6"
