method_id,study_id,method_name,embedding_mechanism,key_design_principle,embedding_stage,payload_type,signal_representation,verification_procedure,access_assumptions,key_or_secret_requirements,reference_access_requirement,source_location
M01,PS01,RoSeMary,code_transformation,learned transformation selection,post_generation,multi_bit,Owner signature encoded through learned variable-renaming and syntactic transformations,Learned extractor recovers the four-bit message; a non-interactive zero-knowledge proof verifies that it matches the owner's signature,Post-generation rewriting pipeline with language-specific transformation support,Owner signature and ZKP material; secrecy assumptions apply to model parameters and signatures,none,"RoSeMary.pdf, Sections 3-4"
M02,PS02,GDW,token_biasing,grammar-constrained structural-role-aware modulation,generation_time,single_bit,Role-weighted green-list signal over grammar-admissible syntax-critical and content-bearing tokens,Incremental parsing reconstructs eligibility and a role-weighted z-statistic tests the green-token excess,Decoder logits tokenizer and a compatible incremental grammar for each language,Secret key for green-list construction,none,"GDW.pdf, Section 3"
M03,PS03,MCSS,code_transformation,keyed spread-spectrum voting over naming and structural channels with error correction,post_generation,multi_bit,24-bit model identifier spread across variable-naming conventions and structural-form pairs,Canonicalize and traverse the AST; reconstruct keyed slots; aggregate repeated votes; decode erasures and the identifier without the original code,Post-generation Python AST transformation pipeline,Secret assignment key,none,"MultiChannel.pdf, Sections 4-5"
M04,PS04,PromptMark,prompt_based_steering,keyed identifier-initial instruction with iterative feedback,generation_time,single_bit,Skew toward a keyed green list of identifier initials and comment-word initials,Exact binomial test for short artifacts or normal approximation otherwise; conjoined with executable functional checking,Ordinary prompt/API access plus an executable test suite,128-bit key hashed with domain-separated SHA-256 to define the green list,none,"PromptMark.pdf, Section 3"
M05,PS05,MATRIX,code_transformation,dual-channel constrained parity-check encoding with BCH redundancy,post_generation,multi_bit,Organization and contributor identities represented by grouped natural- and formal-channel anchor states,Static analysis reconstructs anchor states; parity equations identify the organization and recover the contributor message,Post-generation Python static analysis and reversible rule set,Organization-specific parity-check matrix and secret anchor ordering/transformation rules,none,"MATRIX.pdf, Section III"
M06,PS06,SWaRL,end_to_end_learned,reinforcement-learning adaptation,training_time_model,single_bit,Implicit generator behavior learned jointly with a detector,Confidential trained detector classifies generated source as watermarked or not,Access to model parameters for supervised fine-tuning LoRA and GRPO,Confidential detector and adapted model parameters,none,"SWaRL.pdf, Sections 3-4"
M07,PS07,Code Acrostic,token_biasing,corpus-entropy-aware,generation_time,single_bit,Green-list token bias at positions following a static corpus-derived cue list,The same cue list locates eligible positions and the detector tests the resulting statistical signal,Decoder access tokenizer and a corpus-derived cue list,Secret/keyed token partition,none,"CodeAcrostic.pdf, Sections 3-4"
M08,PS08,CLASP,code_transformation,LLM-assisted fixed-rule transformation with reference-grounded recovery,post_generation,multi_bit,Each bit applies or omits an LLM-selected rule from a bit-specific semantic-preserving transformation class,Retrieve the likely original program; use differential comparison and an LLM to infer applied rules and recover bits,Post-generation LLM access and a defender-controlled transformation space,Private rule set and extraction procedure,Maintained candidate original-code repository,"CLASP.pdf, Section 3"
M09,PS09,STONE,token_biasing,syntax-aware,generation_time,single_bit,Green-list signal restricted to an admissible token space that excludes syntax-critical categories,Reconstruct the admissible token space and evaluate the green-token statistical signal,Decoder access tokenizer and language-specific syntax-category rules,Secret key for token partition,none,"STONE.pdf, Section 3"
M10,PS10,MCGMark,token_biasing,robustness-aware,generation_time,multi_bit,Cyclic bit-conditioned selection between independently constructed green and red token lists with correction bits,Recover the repeated 24-bit user identity from bit-conditioned token evidence,Decoder access and code-aware position skipping,Secret keyed token partition,none,"MCGMark.pdf, Section 4"
M11,PS11,CodeIP,token_biasing,grammar-guided,generation_time,multi_bit,Message-dependent token partition combined with LSTM next-token-type guidance,Reconstruct message-conditioned partitions to recover and verify an arbitrary payload of up to 20 bits,Decoder logits lexer and trained next-token-type predictor,Secret hash/key used in message-dependent partitioning,none,"CodeIP.pdf, Section 3"
M12,PS12,ACW (Li),code_transformation,deterministic transformation,post_generation,single_bit,Idempotent semantic-preserving refactoring reordering and formatting transformations applied in secret deterministic order,Reconstruct the applicable transformation set and reapply selected transformations; unchanged code indicates watermark presence,Post-generation static analysis and transformation engine,Secret hash-based transformation ordering,none,"ACW-Li.pdf, Section III"
M13,PS13,SWEET,token_biasing,model-entropy-aware,generation_time,single_bit,Standard green-list bias only at next-token positions above an entropy threshold,Recompute eligible high-entropy positions; reconstruct keyed partitions; test green-token counts,Decoder logits and base-model probabilities during embedding and detection,Secret key for token partition,none,"SWEET.pdf, Section 3"
