application_id,protocol_id,method_id,operationalization,attacker_knowledge,post_attack_detectability_measured,post_attack_functionality_measured,post_attack_imperceptibility_measured,source_location
RPA001,RP01,M01,Rename 10/30/50% of identifiers,black_box,yes,no,no,"RoSeMary.pdf, Section 5.5 and Figure 3"
RPA002,RP01,M02,Identifier replacement preserving program functionality; AUTC recomputed before and after attack,black_box,yes,yes,no,"GDW.pdf, Section 4.6 and Table 5"
RPA003,RP01,M03,Rename 2/4/8/16/32 variables,Attacker assumed not to know the secret assignment key,yes,no,no,"MultiChannel.pdf, Sections 6.1-6.7 and Tables 5-10"
RPA004,RP01,M05,Random identifier replacement; post-attack TPR reported on HumanEval and MBPP,black_box,yes,no,no,"MATRIX.pdf, Section V-D and Table VIII"
RPA005,RP01,M06,Rename 10/30/50% on MBPP,black_box,yes,no,no,"SWaRL.pdf, Table 2 and Figure 4"
RPA006,RP01,M08,Rename 25/50/75/100% of variables,black_box,yes,yes,yes,"CLASP.pdf, Sections 5.1-5.3 and Table 4"
RPA007,RP01,M12,GPT-4 renaming of local variables/functions,black_box,yes,yes,yes,"ACW-Li.pdf, Figures 6-9 and Table V"
RPA008,RP01,M13,Random variable renaming with identifier lengths 2-5 over five seeds,black_box,yes,no,no,"SWEET.pdf, Section 6.4"
RPA009,RP01,M14,Variable/function renaming on HumanEval; AUROC and TPR reported after attack,black_box,yes,no,no,"ACW-Guo.pdf, Section 5.2 and Table 5"
RPA010,RP01,M15,Rename 25/50/75/100% of variables,not_reported,yes,no,yes,"CodeMark.pdf, Section V-C and Tables IV-V"
RPA011,RP01,M16,Variable/function renaming; AUROC and TPR reported after attack,black_box,yes,no,no,"CodeTracer.pdf, Table 3"
RPA012,RP01,M18,Rename 25/50/75/100% of variables,black_box,yes,yes,yes,"SrcMarker.pdf, Tables 6-8"
RPA013,RP01,M19,Graded variable renaming in the code (reported as increasing 'rewriting degree'); AUROC decreases as renaming degree increases,not_reported,yes,no,no,"DTW.pdf, Figure 3"
RPA014,RP01,M20,Rename 25/50/75% of variables,black_box,yes,yes,no,"DWC.pdf, Section 5.4 and Tables 8-10"
