resource_id,resource_name,resource_category,language_coverage,has_description,has_code,has_executable_tests,scale_count,scale_unit,scope_or_artifact_type,source_location
R01,HumanEval,function_level_benchmark,Python,yes,yes,yes,164,tasks,Function synthesis problems with signature docstring canonical solution and unit tests,"CodeAcrostic.pdf, Section 5.1"
R02,MBPP,function_level_benchmark,Python,yes,yes,yes,974,tasks,Short programming problems with natural-language descriptions solutions and assertions,"ACW-Li.pdf, Section IV-A"
R03,HumanEval+,function_level_benchmark,Python,yes,yes,yes,164,tasks,HumanEval tasks with substantially expanded test suites,"STONE.pdf, Table 1"
R04,MBPP+,function_level_benchmark,Python,yes,yes,yes,378,tasks,Sanitized MBPP subset with substantially expanded test suites,"STONE.pdf, Table 1 (reports 399 problems for its MBPP+ split; canonical MBPP+ after further sanitization is 378)"
R05,EvalPlus,function_level_benchmark,Python,yes,yes,yes,542,tasks,Combined HumanEval+ and MBPP+ evaluation suite,"RoSeMary.pdf, Section 5"
R06,MBXP,function_level_benchmark,Python; Java; JavaScript; TypeScript; Go; Ruby; Kotlin; PHP; C#; Scala; C++; Swift; Perl,yes,yes,yes,12662,variants,Multilingual conversion of MBPP problems and tests,"SrcMarker.pdf, Table 2 (reports the MBCPP/MBJP/MBJSP splits it evaluates on, not the full multilingual resource)"
R07,HumanEvalPack,function_level_benchmark,Python; JavaScript; Java; Go; C++; Rust,yes,yes,yes,984,variants,HumanEval variants supporting synthesis repair and explanation in six languages,"STONE.pdf, Table 1 (reports its two-language HEP-C++/HEP-Java subset)"
R08,DS-1000,extended_scope_generation_benchmark,Python,yes,yes,yes,1000,tasks,Data-science code-generation problems spanning seven libraries,"SWEET.pdf, Section 4"
R09,ClassEval,extended_scope_generation_benchmark,Python,yes,yes,yes,100,classes,Class-level generation benchmark with 412 methods and dependency-aware tests,"SWEET.pdf, Section 4"
R10,APPS,extended_scope_generation_benchmark,Python,yes,yes,yes,10000,tasks,Coding-platform tasks with statements I/O specifications tests and accepted solutions,"External resource; scale/coverage as reported in the resource's own original publication, not stated in ACW-Li.pdf (which only reports its own subset/usage; see 5_resource_usage.csv)"
R11,SRDD,extended_scope_generation_benchmark,Python,yes,no,no,1200,tasks,Software requirement descriptions used for project generation,"External resource; scale/coverage as reported in the resource's own original publication, not stated in ACW-Li.pdf (which only reports its own subset/usage; see 5_resource_usage.csv)"
R12,CodeSearchNet,existing_code_corpus,Python; Java; JavaScript; Go; Ruby; PHP,yes,yes,no,6400000,functions_or_snippets,Repository-derived functions and snippets with documentation and metadata,"External resource; scale/coverage as reported in the resource's own original publication, not stated in CodeIP.pdf (which only reports its own subset/usage; see 5_resource_usage.csv)"
R13,Project CodeNet,existing_code_corpus,55_languages,yes,yes,yes,more_than_14000000,programs,"Competitive-programming corpus with problem statements, metadata, and sample input-output tests; MCSS uses a 1,750-file Python evaluation set","Project CodeNet paper; MultiChannel.pdf, Section 6"
R14,The Stack / BigCodeProject,existing_code_corpus,358_languages,no,yes,no,3,TB_source_code,Permissively licensed near-deduplicated repository-derived multilingual corpus; CodeMark names its C++ source BigCodeProject,"External resource; scale/coverage as reported in the resource's own original publication, not stated in CodeMark.pdf (which only reports its own subset/usage; see 5_resource_usage.csv)"
R15,GitHub-C,existing_code_corpus,C,no,yes,no,2072,files,Complete C source files from 67 authors,"SrcMarker.pdf, Table 2"
R16,GitHub-Java,existing_code_corpus,Java,no,yes,no,3022,files,Complete Java source files from 40 authors,"SrcMarker.pdf, Table 2"
R17,MCGTest,specialized_resource,Python_like_signatures,yes,no,no,406,prompts,Malicious-code generation task descriptions and Python-like signatures,"MCGMark.pdf, Section 3"
R18,OpenCoder SFT Stage 2,specialized_resource,Python,yes,yes,yes,118278,samples,Educational instruction-solution instances with tests,"External resource; scale/coverage as reported in the resource's own original publication, not stated in SWaRL.pdf (which only reports its own subset/usage; see 5_resource_usage.csv)"
R19,CoCoNuT,auxiliary_resource,Java; Python; C; JavaScript,no,yes,no,24500000,edits,Repository-mined automated-program-repair changes with editing context,"External resource; scale/coverage as reported in the resource's own original publication, not stated in CodeAcrostic.pdf (which only reports its own subset/usage; see 5_resource_usage.csv)"
R20,Tests4Py,project_level_benchmark,Python,yes,yes,yes,507,commit_versions,System-testing benchmark covering 21 Python projects; the ACW study reports an average 127582 LOC per version and uses system and unit tests,"ACW-Li.pdf, Section IV-D"
R21,ASLang code-prompt set,specialized_resource,not_reported,yes,no,yes,not_reported,prompts,"Self-constructed code-generation prompts (short function synthesis, algorithmic snippets, and script-style generation) bucketed by structural complexity, with associated executable tests used to compute the unit-test pass fraction in the utility score","ASLang.pdf, Sections VII-A and VII-D"
R22,open-r1/verifiable-coding-problems-python,specialized_resource,Python,yes,yes,yes,not_reported,problems,Verifiable Python coding-problem dataset mixed with HumanEval and MBPP prompts to build the watermark-policy training distribution,"CodeTracer.pdf, Appendix C.4"
